web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587215419-726,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,"S/ 703,392",,,,,,
1587215468-1396,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,,,,"Te invitamos a vivir una experiencia única en departamentos. Ceibos es un edificio diseñado especialmente para quienes disfrutan de su tiempo haciendo lo que más le gusta. Cada uno de sus confortables espacios está pensado para brindarte el estilo de vida que tu familia y tú quieren tener. Fecha de Entrega (Mayo 2021) sujeta a culminación de preventa y emisión de licencia de construcción, fecha definitiva: 18 meses después de iniciada la construcción. Media cuadra. Del Tip Top y pocas cuadras del centro financiero",
1587215468-1302,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,"S/ 915,297",,,,,,
1587215504-1824,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=3,,,,,,,2 a 3 dormitorios,,
1587215382-386,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=13,,,,,,,,"Visita nuestro depa piloto!! Front Tower, es un moderno proyecto de 20 pisos más azotea. Ofrece cómodos y funcionales departamentos de 1, 2 y 3 dormitorios, tipo flat, dúplex y penthouse, desde 40m2 hasta 122m2, con una moderna y estudiada distribución. Todas los departamentos son exteriores, lo que garantiza la entrada de luz natural en todas las estancias y unas espectaculares y privilegiadas vistas al mar y a la Isla de San Lorenzo. El edificio cuenta con una sala de usos múltiples, gimnasio, zona de parrilla y una espectacular piscina desbordante. En el primer piso se ubican los locales comerciales. Se entrega cocina equipada. Ubicación: El Proyecto está ubicado en la Av. Brasil 3999, esquina jr Arica, Magdalena del Mar. Localizado a 2 cuadras del mar y del malecón, con acceso directo a las principales vías de la ciudad y rodeado de comercios, colegios, bancos, mercados. Asesor de ventas: diego cel: Ver datos. Av. Brasil 3999",
1587215431-965,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=9,,,,,,,,"10 Dptos. (Flats-Dúplex) desde 110 hasta 220 m² Estacionamientos dobles y deposito por Dptos. Áreas comunes (bbq, Piscina, Salón y Terraza) Acabados de Primer nivel. Sala-Comedor, cocina y Estar Tv. 03 dormitorios y baño de visita. Dúplex con Piscina y zona bbq",
1587215443-1093,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,,,,,1 dormitorio,,
1587215395-537,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,,,,,Escuchamos a nuestros clientes y construimos el tipo de departamento que ellos buscan y desean en San Isidro.,
1587215431-919,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=9,,,,,Diciembre 2021,,,,
1587215419-779,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,,,,"97 a 146 
							
							m² techados",,,
